model,ratio_coconot_converted,ratio_evol_codealpaca_heval_decontaminated,ratio_flan_v2_converted,ratio_no_robots_converted,ratio_numinamath_tir_math_decontaminated,ratio_oasst1_converted,ratio_personahub_code_v2_34999,ratio_personahub_ifdata_manual_seed_v3_29980,ratio_personahub_math_v5_regen_149960,ratio_tulu_hard_coded_repeated_10,ratio_tulu_v3.9_aya_100k,ratio_tulu_v3.9_open_math_2_gsm8k_50k,ratio_tulu_v3.9_personahub_math_interm_algebra_20k,ratio_tulu_v3.9_sciriff_10k,ratio_tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k,ratio_tulu_v3.9_table_gpt_5k,ratio_tulu_v3.9_wildchat_100k,ratio_tulu_v3.9_wildjailbreak_decontaminated_50k,ratio_tulu-3-sft-personas-math-grade,metric_minerva_math::tulu,metric_gsm8k::tulu,metric_bbh:cot-v1::tulu,metric_mmlu:cot::summarize,metric_codex_humaneval::tulu,metric_codex_humanevalplus::tulu,metric_drop::llama3,metric_ifeval::tulu,metric_popqa::tulu,metric_truthfulqa::tulu,metric_arc_challenge:rc::tulu,metric_bigcodebench_hard::tulu,metric_gpqa:0shot_cot::tulu3,metric_naturalqs::tulu,metric_piqa:mc::tulu,metric_socialiqa:mc::tulu,metric_triviaqa::tulu,train_time,metric_avg_id+ood,metric_avg_id,metric_avg_ood
Qwen2.5-0.5B,0.0298,0.0726,0.1512,0.0334,0.027,0.0044,0.0632,0.0354,0.0696,0.0,0.0816,0.1368,0.0182,0.0214,0.0164,0.0134,0.0964,0.0598,0.0694,0.1880484948,0.3388931008,0.3007218553,0.3960419961,0.565722972,0.5084004665,0.253909396,0.3234750462,0.1016331394,0.3988619955,0.3924914676,0.0042997543,0.2723214286,0.0939584488,0.6371055495,0.576765609,0.2045772123,95.348772619,0.3470580111,0.33757084626,0.3116456385857143
Qwen2.5-0.5B,0.0404,0.0828,0.0712,0.0224,0.089,0.0276,0.0132,0.0406,0.0838,0.0006,0.124,0.0946,0.0286,0.0354,0.0322,0.0204,0.1112,0.0568,0.0256,0.1935650161,0.3586050038,0.3064045462,0.3965939618,0.5331992915,0.506594723,0.2552044883,0.3271719039,0.102193874,0.4021718956,0.388225256,0.0067567568,0.2723214286,0.0896426593,0.6245919478,0.5757420676,0.2007638433,95.348772619,0.3258675684,0.33817047042000004,0.30829199420000003
Qwen2.5-0.5B,0.0418,0.0684,0.0472,0.0344,0.1378,0.0064,0.027,0.0102,0.1976,0.0002,0.117,0.0482,0.0142,0.0102,0.1042,0.004,0.0746,0.026,0.0306,0.1961288646,0.3623957544,0.2988788205,0.4056930717,0.5513967598,0.5078196741,0.2574895134,0.26987061,0.1013527721,0.4031092004,0.3788395904,0.0,0.2767857143,0.0882132964,0.6425462459,0.5721596725,0.1919950862,95.348772619,0.323804391,0.3354135040999999,0.3072199436714286
Qwen2.5-0.5B,0.0078,0.1312,0.1074,0.0118,0.073,0.0174,0.0224,0.097,0.1122,0.0,0.1224,0.0474,0.0812,0.0174,0.0174,0.0066,0.0326,0.0566,0.038,0.1836816831,0.3313115997,0.301796959,0.4099546817,0.5590949817,0.5149094138,0.2559458893,0.3789279113,0.0993902012,0.3972502868,0.4027303754,0.0,0.2790178571,0.092833795,0.6235038085,0.5788126919,0.2090536434,95.348772619,0.3304832811,0.34322636075999996,0.3122788816142857
Qwen2.5-0.5B,0.0484,0.0636,0.0462,0.0058,0.0866,0.0096,0.0502,0.1022,0.132,0.0006,0.1152,0.0434,0.0122,0.0244,0.0518,0.0212,0.039,0.088,0.0596,0.1836549527,0.3487490523,0.3024113039,0.3912799581,0.560788844,0.5386290633,0.255039849,0.3715341959,0.0996004766,0.4002230766,0.3916382253,0.0067567568,0.2611607143,0.090634349,0.6294885745,0.5726714432,0.2004239192,95.348772619,0.3296873385,0.34519107724,0.3075391403285714
Qwen2.5-0.5B,0.0042,0.049,0.0652,0.0252,0.129,0.0248,0.0488,0.0252,0.1278,0.0,0.1248,0.0184,0.0116,0.0356,0.0562,0.0094,0.0764,0.0304,0.1384,0.1898004369,0.3388931008,0.3014897865,0.4037249219,0.5517543838,0.5314250331,0.2527506292,0.280961183,0.1019135067,0.4075933208,0.3822525597,0.0067567568,0.2589285714,0.092199446,0.6365614799,0.5752302968,0.2062638909,95.348772619,0.3246176061,0.33603063026999996,0.30831328592857143
Qwen2.5-0.5B,0.0328,0.099,0.1028,0.0068,0.1606,0.0126,0.0312,0.0322,0.0994,0.0002,0.063,0.1016,0.0102,0.0102,0.0302,0.0052,0.105,0.061,0.0358,0.1959024588,0.3305534496,0.3102442021,0.4075270191,0.5906596188,0.5348087643,0.2567785235,0.3068391867,0.1007219457,0.4012161871,0.3873720137,0.0067567568,0.2700892857,0.0937423823,0.6392818281,0.5783009212,0.2062116993,95.348772619,0.3304121319,0.34352513557000003,0.3116792695857143
Qwen2.5-0.5B,0.0536,0.1104,0.0442,0.0054,0.0488,0.0296,0.1096,0.0294,0.0556,0.0006,0.0698,0.0424,0.0286,0.005,0.12,0.004,0.1192,0.0956,0.0284,0.1783998465,0.3495072024,0.3022577177,0.4010088158,0.5689111255,0.5276952291,0.2525272651,0.3179297597,0.1024041494,0.4064400524,0.3890784983,0.0,0.265625,0.0856204986,0.6496191513,0.5721596725,0.1863925135,95.348772619,0.3267986175,0.34070811636,0.3069279048857143
Qwen2.5-0.5B,0.0302,0.0428,0.0664,0.0116,0.0788,0.0118,0.0652,0.0356,0.1114,0.0008,0.091,0.0644,0.0224,0.007,0.1536,0.0134,0.109,0.0234,0.0612,0.1814257845,0.3434420015,0.3031792351,0.3904185433,0.5331763542,0.514791889,0.2559144295,0.3197781885,0.1042966286,0.4066710561,0.3950511945,0.0067567568,0.2433035714,0.0889445983,0.6403699674,0.5736949846,0.1994705647,95.348772619,0.3235697499,0.33530941103,0.30679880538571425
Qwen2.5-0.5B,0.0056,0.0756,0.0474,0.0436,0.0718,0.0136,0.0336,0.0776,0.1446,0.0008,0.1302,0.0738,0.0254,0.016,0.0188,0.0152,0.1432,0.0278,0.0356,0.1855001399,0.3684609553,0.2982644755,0.3840865524,0.5589823744,0.5071872975,0.2577317534,0.3696857671,0.1014929558,0.4016226531,0.388225256,0.0067567568,0.28125,0.0849889197,0.6235038085,0.5788126919,0.2007147698,95.348772619,0.3292510075,0.34330149244,0.30917888609999994
Qwen2.5-0.5B,0.0128,0.1032,0.0326,0.0116,0.0232,0.0038,0.0556,0.011,0.107,0.0006,0.1296,0.0906,0.035,0.0342,0.0666,0.0076,0.069,0.0434,0.1626,0.1839757418,0.3919636088,0.3048686838,0.4094117987,0.5632938288,0.5289216324,0.2517260906,0.2828096118,0.0988995584,0.4039595621,0.3788395904,0.0,0.3058035714,0.0851108033,0.6430903156,0.5747185261,0.1889802594,95.348772619,0.3291984226,0.34198301171999995,0.31093472374285713
Qwen2.5-0.5B,0.0164,0.0398,0.0786,0.016,0.0292,0.0062,0.0212,0.075,0.235,0.001,0.0388,0.0458,0.0494,0.022,0.0584,0.0022,0.1608,0.065,0.0394,0.1714135981,0.3343442002,0.3062509599,0.3990142546,0.5749277623,0.4962616482,0.2540792785,0.3456561922,0.1040863531,0.4043262161,0.3839590444,0.0,0.2700892857,0.0871412742,0.6398258977,0.5762538383,0.1944497677,95.348772619,0.3260046807,0.33903604631999995,0.307388444
Qwen2.5-0.5B,0.0094,0.0992,0.1206,0.036,0.0254,0.0192,0.0246,0.046,0.1114,0.0,0.0602,0.0938,0.0628,0.0168,0.049,0.0186,0.0618,0.0518,0.0934,0.1752396759,0.3411675512,0.3071724773,0.4139249789,0.5706947898,0.5323714692,0.2543571728,0.3234750462,0.1013527721,0.4008708784,0.3865187713,0.0135135135,0.2611607143,0.0945373961,0.6224156692,0.5747185261,0.2057784556,95.348772619,0.3281923446,0.34206268118,0.3083775780142857
Qwen2.5-0.5B,0.0088,0.077,0.106,0.0228,0.0314,0.0306,0.0556,0.0186,0.0936,0.0,0.066,0.0882,0.026,0.0094,0.0502,0.0056,0.144,0.075,0.0912,0.1800699325,0.3328278999,0.3039471663,0.4193664764,0.5624432343,0.5181404386,0.2532361577,0.2791127542,0.0999509357,0.404774427,0.3890784983,0.0,0.2700892857,0.0903102493,0.6354733406,0.5793244626,0.2036735623,95.348772619,0.3248128718,0.33538694226,0.3097070569714286
Qwen2.5-0.5B,0.0504,0.1696,0.1194,0.0062,0.0336,0.0074,0.0306,0.0282,0.0522,0.0004,0.1114,0.0624,0.0304,0.0438,0.0658,0.0084,0.035,0.0354,0.1096,0.1808102688,0.3328278999,0.3068653049,0.4115999345,0.5886893538,0.5625209901,0.2557162332,0.2939001848,0.0984790075,0.392613552,0.3839590444,0.0067567568,0.2767857143,0.0923684211,0.6294885745,0.5706243603,0.2083895344,95.348772619,0.3289644197,0.3424022729499999,0.30976748654285713
Qwen2.5-0.5B,0.0396,0.0466,0.147,0.0234,0.1146,0.0062,0.0346,0.039,0.1508,0.0008,0.1354,0.1076,0.0242,0.0168,0.017,0.0032,0.0372,0.0394,0.0166,0.192885816,0.3206974981,0.2998003379,0.3889010239,0.5544175535,0.5153893811,0.2547745386,0.3308687616,0.0996004766,0.3999888873,0.3941979522,0.0067567568,0.2566964286,0.0972853186,0.6371055495,0.5783009212,0.208966578,95.348772619,0.32568434,0.33573242746000004,0.31132992927142855
Qwen2.5-0.5B,0.0212,0.0464,0.0378,0.0062,0.023,0.0052,0.0232,0.0476,0.2244,0.0002,0.098,0.0164,0.0884,0.0134,0.1002,0.0076,0.0944,0.0482,0.0982,0.1757293135,0.3593631539,0.2994931654,0.3910474649,0.5713859783,0.5318058914,0.252815646,0.3401109057,0.1040162613,0.4066749999,0.388225256,0.0067567568,0.2790178571,0.0856260388,0.6501632209,0.5726714432,0.179849387,95.348772619,0.3291031024,0.34324427803,0.3089014228285714
Qwen2.5-0.5B,0.0078,0.199,0.0686,0.0374,0.0628,0.0264,0.0204,0.021,0.0496,0.0,0.0774,0.021,0.0174,0.0272,0.0276,0.024,0.1862,0.099,0.0278,0.1793536568,0.346474602,0.301796959,0.3990356035,0.5672535339,0.5311174092,0.2531512164,0.292051756,0.0976379057,0.4059871207,0.3873720137,0.0,0.2700892857,0.0876620499,0.6398258977,0.571136131,0.1994550816,95.348772619,0.3252588366,0.33738597632000006,0.3079343513714286
Qwen2.5-0.5B,0.021,0.1042,0.0894,0.0072,0.056,0.0096,0.0394,0.0496,0.1298,0.0008,0.0496,0.1126,0.024,0.0044,0.0336,0.0072,0.1622,0.0648,0.0352,0.1877077009,0.3555724033,0.3042543388,0.3952720007,0.5215174371,0.5302259236,0.2567292366,0.3696857671,0.1009322212,0.4005175745,0.3762798635,0.0,0.2455357143,0.0900138504,0.6376496192,0.5798362334,0.205273428,95.348772619,0.3268825478,0.34224146038,0.3049412441142857
Qwen2.5-0.5B,0.0454,0.1274,0.0338,0.006,0.0592,0.0166,0.0512,0.0638,0.0898,0.0006,0.0832,0.065,0.0764,0.0196,0.0726,0.0102,0.0324,0.0984,0.048,0.1805453649,0.3745261562,0.3025648902,0.37233876,0.5859011345,0.5457138525,0.2535339765,0.3548983364,0.0995303848,0.4024385332,0.3805460751,0.0067567568,0.2723214286,0.0866980609,0.6381936888,0.5731832139,0.179894273,95.348772619,0.3299755815,0.34719913892000004,0.30537049958571433
Qwen2.5-0.5B,0.0098,0.1056,0.2044,0.0112,0.071,0.0088,0.0952,0.0106,0.1028,0.0008,0.0324,0.0398,0.0728,0.0084,0.057,0.0078,0.0636,0.0658,0.0324,0.1874501116,0.3169067475,0.305636615,0.4126960568,0.5836326184,0.5285316652,0.2536891779,0.2624768946,0.1027546085,0.3950310567,0.388225256,0.0067567568,0.2477678571,0.0944764543,0.6392818281,0.5696008188,0.2068064175,95.348772619,0.3236306436,0.33488055522,0.3075593412285715
Qwen2.5-0.5B,0.005,0.1874,0.1336,0.0146,0.0226,0.0024,0.0492,0.0268,0.0902,0.0,0.1722,0.0728,0.0188,0.0298,0.0334,0.004,0.0536,0.0418,0.0414,0.1927525695,0.3495072024,0.3031792351,0.4182130817,0.5537705564,0.5074167366,0.2544955956,0.3049907579,0.102193874,0.3976713731,0.388225256,0.0,0.265625,0.0959307479,0.6316648531,0.5665301945,0.2072035327,95.348772619,0.3258453274,0.33841909823000005,0.30788279774285715
Qwen2.5-0.5B,0.01,0.2014,0.0376,0.0182,0.0476,0.0116,0.024,0.146,0.1882,0.0006,0.0704,0.016,0.0332,0.0152,0.0162,0.0036,0.0484,0.0574,0.0546,0.1737624789,0.33358605,0.3007218553,0.4205340844,0.5627329044,0.5514319414,0.2518278104,0.3881700555,0.1012125885,0.3993552289,0.3916382253,0.0,0.2991071429,0.0876371191,0.6354733406,0.5752302968,0.1823337216,95.348772619,0.3326326379,0.34833349977,0.3102028351857143
Qwen2.5-0.5B,0.027,0.0578,0.0316,0.007,0.116,0.0258,0.0568,0.0562,0.1026,0.0,0.0416,0.0862,0.0532,0.0118,0.0584,0.005,0.076,0.0674,0.1196,0.1913222507,0.3805913571,0.2968821994,0.3849695643,0.5668357449,0.4924530983,0.253045302,0.3382624769,0.1001612112,0.4097638321,0.3865187713,0.0067567568,0.2544642857,0.0871551247,0.646898803,0.5731832139,0.1926438567,95.348772619,0.3271710499,0.34142870368999995,0.30680297315714294
Qwen2.5-0.5B,0.0428,0.0936,0.0784,0.0162,0.088,0.0278,0.0524,0.025,0.134,0.0004,0.1726,0.0188,0.0136,0.0214,0.0166,0.012,0.0636,0.0252,0.0972,0.1795645682,0.3404094011,0.3001075104,0.3870474761,0.5615680853,0.5522959352,0.2513538171,0.3068391867,0.1000210275,0.3994690611,0.3848122867,0.0,0.2522321429,0.0941301939,0.627312296,0.5752302968,0.2003234612,95.348772619,0.3242774556,0.33786760687,0.3048629539285714
Qwen2.5-0.5B,0.0092,0.2046,0.0456,0.0304,0.0618,0.0036,0.0434,0.0422,0.091,0.0004,0.0368,0.0186,0.0146,0.0182,0.141,0.0096,0.043,0.1598,0.026,0.1923698181,0.3684609553,0.3080939948,0.377829564,0.573164131,0.5503396305,0.2526027685,0.3345656192,0.0985490993,0.4057742701,0.3848122867,0.0,0.2544642857,0.0886204986,0.6300326442,0.5742067554,0.1981602831,95.348772619,0.3289439179,0.34617498508000005,0.3043281076714286
Qwen2.5-0.5B,0.0382,0.0464,0.0922,0.008,0.0708,0.0074,0.0444,0.0132,0.1836,0.0,0.097,0.0822,0.0266,0.0218,0.0954,0.0062,0.1194,0.0206,0.0262,0.1828494224,0.3381349507,0.3065581324,0.4057864707,0.5616359071,0.5291278372,0.2545260067,0.2569316081,0.1028247004,0.3990528143,0.3924914676,0.0,0.2879464286,0.0919750693,0.6349292709,0.5726714432,0.2030353485,95.348772619,0.324733934,0.333742785,0.31186414687142855
Qwen2.5-0.5B,0.0146,0.0358,0.0466,0.013,0.1314,0.023,0.0322,0.0306,0.102,0.0004,0.137,0.0786,0.0524,0.0134,0.1006,0.002,0.0776,0.0316,0.0776,0.1929938503,0.3745261562,0.2974965443,0.3927495926,0.5430869204,0.5210992191,0.2566715604,0.3105360444,0.1005116703,0.4074534778,0.3907849829,0.0135135135,0.2566964286,0.0838282548,0.6365614799,0.5706243603,0.1943305705,95.348772619,0.3260861545,0.33971250358,0.30661994150000005
Qwen2.5-0.5B,0.0364,0.037,0.0698,0.0326,0.1096,0.0102,0.0188,0.054,0.0886,0.0008,0.0616,0.1776,0.0138,0.0412,0.0232,0.0056,0.0712,0.1196,0.0284,0.203409368,0.3623957544,0.3028720627,0.3922544561,0.5607007251,0.5089621499,0.2547137164,0.3345656192,0.0995303848,0.4110270707,0.3779863481,0.0067567568,0.2455357143,0.0933878116,0.6349292709,0.576765609,0.2088022427,95.348772619,0.3279173565,0.34304313073000003,0.3063091076285714
Qwen2.5-0.5B,0.0042,0.035,0.1084,0.0272,0.0444,0.0282,0.0604,0.079,0.0606,0.0008,0.0474,0.079,0.0676,0.0182,0.1264,0.012,0.0596,0.0716,0.07,0.1817745429,0.3184230478,0.3025648902,0.4092831015,0.5624758416,0.5277747011,0.2512699245,0.3585951941,0.101002313,0.4079650212,0.3873720137,0.0067567568,0.2633928571,0.0925900277,0.6354733406,0.5701125896,0.2136374039,95.348772619,0.3288507981,0.34211285778999995,0.30990499848571423
Qwen2.5-0.5B,0.027,0.0426,0.029,0.0066,0.061,0.0108,0.1462,0.0358,0.0762,0.0004,0.1518,0.0586,0.0218,0.0192,0.0754,0.0126,0.131,0.0684,0.0256,0.1856784508,0.3661865049,0.3051758562,0.3981619747,0.5680434683,0.5019011561,0.2547000839,0.314232902,0.1017733231,0.403409589,0.385665529,0.0067567568,0.2589285714,0.0812243767,0.6387377584,0.571136131,0.1742331798,95.348772619,0.324467389,0.3399263309,0.3023831861571429
Qwen2.5-0.5B,0.044,0.0444,0.1268,0.0258,0.0292,0.0234,0.0306,0.1012,0.0888,0.0,0.0432,0.1034,0.0252,0.0054,0.119,0.0042,0.0866,0.0322,0.0668,0.1728108202,0.3244882487,0.304407925,0.4096839521,0.5589965988,0.5400907142,0.2545427852,0.3715341959,0.1019135067,0.4045776909,0.3950511945,0.0,0.2611607143,0.0897229917,0.6452665941,0.571136131,0.198288322,95.348772619,0.3296277874,0.34430464377,0.30866084965714286
Qwen2.5-0.5B,0.0206,0.0742,0.0686,0.0102,0.0908,0.0026,0.0306,0.0174,0.0782,0.0004,0.093,0.1058,0.0184,0.0104,0.175,0.003,0.0666,0.0594,0.075,0.195548593,0.3578468537,0.3002610966,0.4009848414,0.576466245,0.5210072718,0.2547158138,0.2643253235,0.104506904,0.4055846909,0.3865187713,0.0,0.2410714286,0.0897534626,0.6420021763,0.5706243603,0.2056840099,95.348772619,0.3245236378,0.33812476336999997,0.30509345842857144
Qwen2.5-0.5B,0.0184,0.0694,0.1356,0.0298,0.0352,0.0086,0.0382,0.0536,0.1112,0.0004,0.1286,0.071,0.0282,0.012,0.0436,0.0072,0.1024,0.0466,0.0598,0.1836015895,0.3282789992,0.3036399939,0.4042779183,0.5972911735,0.5209837405,0.2527191695,0.3364140481,0.1008621294,0.3981259745,0.3950511945,0.0067567568,0.2857142857,0.0912963989,0.6392818281,0.5788126919,0.2065733704,95.348772619,0.3311577213,0.34261947364,0.3147837894714286
Qwen2.5-0.5B,0.0194,0.1692,0.0924,0.0466,0.0822,0.008,0.0402,0.0104,0.1098,0.0002,0.0804,0.037,0.0294,0.0068,0.0812,0.0046,0.1182,0.0312,0.0332,0.1902239198,0.3222137983,0.2978037168,0.421314649,0.5737681908,0.5328976081,0.2542460151,0.2791127542,0.1000210275,0.4038030218,0.3899317406,0.0,0.2611607143,0.0879861496,0.6398258977,0.5747185261,0.2010552274,95.348772619,0.3252989975,0.33754047013999994,0.3078111793857143
Qwen2.5-0.5B,0.0058,0.0538,0.1348,0.0244,0.033,0.0044,0.047,0.0876,0.0968,0.0006,0.0996,0.0398,0.0424,0.0174,0.0396,0.012,0.0942,0.019,0.1478,0.1797691858,0.326762699,0.3065581324,0.3969793104,0.5676819169,0.5304568148,0.2528817114,0.3752310536,0.1032452513,0.3972876297,0.3890784983,0.0067567568,0.265625,0.0937036011,0.6365614799,0.5772773797,0.2089642307,95.348772619,0.3302835678,0.34368537053000003,0.3111381352142857
Qwen2.5-0.5B,0.0184,0.1042,0.1442,0.0252,0.0352,0.006,0.0812,0.064,0.0598,0.0002,0.0472,0.023,0.0122,0.037,0.0764,0.0136,0.1788,0.0166,0.057,0.1707556079,0.3244882487,0.3077868223,0.3837070517,0.5715645262,0.5214048958,0.2504467282,0.3678373383,0.1036658022,0.4066595084,0.3865187713,0.0,0.2790178571,0.089398892,0.6338411317,0.5783009212,0.1975414388,95.348772619,0.3278197377,0.34083165296999995,0.3092312874428571
Qwen2.5-0.5B,0.0258,0.134,0.1544,0.0176,0.059,0.0116,0.0232,0.0178,0.0802,0.0012,0.0532,0.0702,0.033,0.0082,0.0226,0.0154,0.0968,0.089,0.087,0.1851521415,0.3358605004,0.3047150975,0.4062245019,0.5738040984,0.5268391231,0.2559721057,0.2846580407,0.1004415785,0.4002872105,0.388225256,0.0,0.2566964286,0.0927063712,0.6436343852,0.5742067554,0.2089528602,95.348772619,0.3257868503,0.33739543982,0.30920315094285716
Qwen2.5-0.5B,0.0176,0.172,0.085,0.0034,0.1566,0.0102,0.0314,0.0602,0.1116,0.0008,0.0542,0.031,0.0254,0.0276,0.0786,0.0054,0.0698,0.0336,0.0252,0.1984699417,0.3411675512,0.2990324067,0.3940774677,0.5563301618,0.516900735,0.2525020973,0.3548983364,0.1012125885,0.4031142073,0.3890784983,0.0,0.28125,0.0934293629,0.6398258977,0.5762538383,0.2062554433,95.348772619,0.3296352079,0.34177054935999995,0.3122990057857143
Qwen2.5-0.5B,0.0546,0.051,0.0872,0.0216,0.09,0.007,0.0696,0.0618,0.0948,0.0002,0.1264,0.024,0.015,0.0038,0.025,0.0198,0.1338,0.0332,0.081,0.1789789427,0.33358605,0.30502227,0.4001642137,0.5477174179,0.5141248919,0.2539744128,0.3419593346,0.1040863531,0.4053415189,0.3916382253,0.0067567568,0.2790178571,0.0906648199,0.6420021763,0.5747185261,0.2026375277,95.348772619,0.3277877232,0.33849554056,0.31249084131428567
