model,ratio_coconot_converted,ratio_evol_codealpaca_heval_decontaminated,ratio_flan_v2_converted,ratio_no_robots_converted,ratio_numinamath_tir_math_decontaminated,ratio_oasst1_converted,ratio_personahub_code_v2_34999,ratio_personahub_ifdata_manual_seed_v3_29980,ratio_personahub_math_v5_regen_149960,ratio_tulu_hard_coded_repeated_10,ratio_tulu_v3.9_aya_100k,ratio_tulu_v3.9_open_math_2_gsm8k_50k,ratio_tulu_v3.9_personahub_math_interm_algebra_20k,ratio_tulu_v3.9_sciriff_10k,ratio_tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k,ratio_tulu_v3.9_table_gpt_5k,ratio_tulu_v3.9_wildchat_100k,ratio_tulu_v3.9_wildjailbreak_decontaminated_50k,ratio_tulu-3-sft-personas-math-grade,metric_minerva_math::tulu,metric_gsm8k::tulu,metric_bbh:cot-v1::tulu,metric_mmlu:cot::summarize,metric_codex_humaneval::tulu,metric_codex_humanevalplus::tulu,metric_drop::llama3,metric_ifeval::tulu,metric_popqa::tulu,metric_truthfulqa::tulu,metric_arc_challenge:rc::tulu,metric_bigcodebench_hard::tulu,metric_gpqa:0shot_cot::tulu3,metric_naturalqs::tulu,metric_piqa:mc::tulu,metric_socialiqa:mc::tulu,metric_triviaqa::tulu,train_time,metric_avg_id+ood,metric_avg_id,metric_avg_ood
Qwen2.5-0.5B,0.0052,0.1562,0.1028,0.029,0.0966,0.0088,0.038,0.0218,0.0668,0.0002,0.0698,0.0332,0.05,0.0064,0.0758,0.0038,0.13,0.0238,0.0814,0.1842905835,0.3229719484,0.2944248195,0.4204374028,0.5697893108,0.5422838507,0.2581658977,0.2828096118,0.1009322212,0.3996858538,0.3839590444,0.0,0.2901785714,0.0875263158,0.6235038085,0.5726714432,0.2049740788,95.348772619,0.3258002801,0.33757915001999994,0.3089733231571428
Qwen2.5-0.5B,0.0186,0.079,0.0368,0.0042,0.0464,0.0038,0.0142,0.0212,0.1884,0.0,0.1962,0.0262,0.0182,0.0136,0.078,0.0042,0.0668,0.1242,0.0602,0.1928902426,0.3790750569,0.3031792351,0.3806164959,0.5608501971,0.5151472357,0.251911703,0.303142329,0.1017032312,0.4062696641,0.385665529,0.0067567568,0.2790178571,0.0879695291,0.6556039173,0.5685772774,0.1974044015,95.348772619,0.3279870976,0.33947853906000003,0.31157075259999994
Qwen2.5-0.5B,0.006,0.0494,0.1468,0.0126,0.074,0.0078,0.0374,0.0122,0.13,0.0004,0.0828,0.0698,0.0676,0.0254,0.042,0.0026,0.1596,0.0192,0.0542,0.1816262405,0.3161485974,0.3042543388,0.4105357432,0.5743734056,0.521636216,0.2538947148,0.2865064695,0.1015630476,0.3994154287,0.3796928328,0.0067567568,0.2745535714,0.0927146814,0.6414581066,0.5752302968,0.2071569898,95.348772619,0.3251480846,0.33499542021,0.31108046222857144
Qwen2.5-0.5B,0.013,0.0748,0.041,0.0336,0.029,0.0222,0.1308,0.0356,0.089,0.0,0.0966,0.0542,0.0488,0.0048,0.0808,0.008,0.0918,0.0858,0.0602,0.1802893091,0.3586050038,0.3074796498,0.4219385374,0.555715409,0.500855578,0.2545899748,0.3197781885,0.0991799257,0.4064813816,0.3907849829,0.0067567568,0.2566964286,0.086465374,0.640914037,0.5736949846,0.1885814003,95.348772619,0.3264004072,0.34049129577000004,0.30627056631428573
Qwen2.5-0.5B,0.004,0.1314,0.0672,0.0196,0.0654,0.0102,0.0518,0.0254,0.058,0.0,0.1016,0.0866,0.0378,0.0476,0.0812,0.0128,0.1012,0.0692,0.029,0.193049212,0.3631539045,0.3036399939,0.4104188398,0.5594011205,0.536447973,0.2565415268,0.292051756,0.1011424967,0.4018804188,0.3822525597,0.0,0.2946428571,0.0899889197,0.6267682263,0.5772773797,0.2063637263,95.348772619,0.3291188771,0.3417727242,0.3110419526857143
Qwen2.5-0.5B,0.0058,0.1366,0.0522,0.0128,0.1312,0.0026,0.113,0.0248,0.0998,0.0012,0.0856,0.0442,0.0458,0.0232,0.0612,0.0076,0.0678,0.0662,0.0182,0.1832945362,0.3525398029,0.3053294425,0.4016509313,0.5742151547,0.5478158338,0.2534154782,0.3012939002,0.1012826803,0.4050788467,0.3873720137,0.0,0.2700892857,0.0904847645,0.6381936888,0.576765609,0.2014613254,95.348772619,0.3288401938,0.34259166068,0.30919524101428575
Qwen2.5-0.5B,0.0518,0.0872,0.086,0.021,0.0476,0.027,0.0646,0.0168,0.0492,0.0002,0.069,0.1496,0.0344,0.036,0.0352,0.0176,0.0728,0.1136,0.0204,0.1866320185,0.3654283548,0.3068653049,0.4023513547,0.5796900421,0.5245223232,0.2511933725,0.2975970425,0.0995303848,0.401116667,0.3865187713,0.0,0.2991071429,0.090365651,0.6381936888,0.5772773797,0.2042839942,95.348772619,0.3300396172,0.34149268650000003,0.31367808970000005
Qwen2.5-0.5B,0.0148,0.1844,0.1254,0.0032,0.0962,0.0174,0.0462,0.0626,0.0994,0.0004,0.0796,0.0524,0.0186,0.0032,0.0412,0.0172,0.0816,0.0238,0.0326,0.1862048288,0.3366186505,0.3041007526,0.3903426196,0.553517289,0.5234330817,0.2541380034,0.3622920518,0.0998808439,0.3947133762,0.3865187713,0.0,0.25,0.0909889197,0.6441784548,0.5690890481,0.2089286694,95.348772619,0.3267614918,0.34052414974999995,0.3071005519
Qwen2.5-0.5B,0.0224,0.0512,0.0666,0.0264,0.1382,0.0294,0.0412,0.0122,0.1396,0.0012,0.096,0.0586,0.0132,0.0146,0.034,0.002,0.1176,0.037,0.0986,0.1837860813,0.3563305534,0.3039471663,0.415667899,0.5288486621,0.5106677284,0.2530285235,0.2735674677,0.0991799257,0.4047876889,0.388225256,0.0135135135,0.2700892857,0.0878060942,0.6365614799,0.5731832139,0.1960581787,95.348772619,0.3232499246,0.33298116963,0.30934814598571425
Qwen2.5-0.5B,0.0068,0.1696,0.1148,0.017,0.0474,0.003,0.0252,0.0368,0.1336,0.0012,0.0866,0.1214,0.0134,0.021,0.0496,0.0214,0.0692,0.0302,0.0318,0.1933194681,0.3487490523,0.305636615,0.4041540833,0.5853718933,0.5449877135,0.2549496644,0.3234750462,0.1001612112,0.3984811749,0.3848122867,0.0,0.2611607143,0.0908559557,0.6371055495,0.5726714432,0.2082631147,95.348772619,0.330244411,0.34592859222,0.3078384377285714
Qwen2.5-0.5B,0.0116,0.0632,0.1228,0.0032,0.0242,0.034,0.0984,0.055,0.1128,0.0006,0.0576,0.1226,0.0988,0.0066,0.0472,0.0028,0.0508,0.022,0.0658,0.1735666373,0.3290371494,0.3001075104,0.4219432284,0.5444184723,0.5122582573,0.2493760487,0.3567467652,0.0987593748,0.3969891926,0.3907849829,0.0067567568,0.2522321429,0.0932077562,0.6349292709,0.5716479017,0.2063140522,95.348772619,0.3258279706,0.33832026364,0.3079818376571429
Qwen2.5-0.5B,0.0066,0.0676,0.0954,0.017,0.1242,0.019,0.1232,0.02,0.0988,0.0004,0.046,0.0616,0.0236,0.0054,0.11,0.0044,0.0546,0.0616,0.0608,0.1811395919,0.3373768006,0.3036399939,0.405043581,0.5738030093,0.4882876506,0.2566065436,0.2846580407,0.1000210275,0.4040724383,0.3873720137,0.0,0.2254464286,0.0946842105,0.6322089227,0.576765609,0.2067488912,95.348772619,0.3210514561,0.33346486774,0.3033180108142857
Qwen2.5-0.5B,0.028,0.0404,0.1556,0.0106,0.134,0.0146,0.0318,0.0308,0.1098,0.0004,0.0968,0.1204,0.0382,0.017,0.0248,0.0036,0.0498,0.0222,0.0712,0.1923236374,0.3343442002,0.2964214406,0.4010563387,0.5475616093,0.5174118574,0.2532466443,0.3271719039,0.101422864,0.3976953507,0.3848122867,0.0067567568,0.2455357143,0.0963379501,0.6474428727,0.5742067554,0.2125823576,95.348772619,0.3256665024,0.33686558465,0.30966781337142857
Qwen2.5-0.5B,0.0202,0.1896,0.0588,0.0158,0.057,0.007,0.0258,0.0238,0.06,0.0004,0.125,0.0414,0.0404,0.0242,0.1096,0.0028,0.1026,0.0348,0.0606,0.1898929218,0.3563305534,0.297957303,0.4217345558,0.5707339647,0.5293637779,0.2555369128,0.2902033272,0.101002313,0.4055959428,0.3924914676,0.0,0.2678571429,0.0854044321,0.6414581066,0.5721596725,0.1921022152,95.348772619,0.3276367417,0.34183515723999996,0.3073532909857143
Qwen2.5-0.5B,0.0236,0.1446,0.05,0.0404,0.023,0.0048,0.0236,0.1134,0.0544,0.001,0.1132,0.1522,0.012,0.0344,0.0578,0.0248,0.0346,0.0444,0.048,0.1787661159,0.3858984079,0.3060973737,0.4174781496,0.5666574279,0.5038716522,0.2534291107,0.3900184843,0.0966566202,0.4032791743,0.388225256,0.0067567568,0.2834821429,0.0896537396,0.6338411317,0.5762538383,0.2042918649,95.348772619,0.3343916027,0.35021525167,0.3117863900285714
Qwen2.5-0.5B,0.022,0.0502,0.0616,0.0078,0.1522,0.0134,0.053,0.0588,0.125,0.001,0.0742,0.0624,0.0254,0.0092,0.032,0.0066,0.0548,0.0902,0.1004,0.1841760217,0.3487490523,0.3013362003,0.3737200609,0.5799122204,0.5161042329,0.2550776007,0.3438077634,0.1007219457,0.4046230806,0.3848122867,0.0067567568,0.2433035714,0.0922105263,0.640914037,0.5685772774,0.2043330975,95.348772619,0.326419749,0.34082281789,0.30584393615714284
Qwen2.5-0.5B,0.0222,0.0452,0.0352,0.017,0.132,0.0184,0.1212,0.0352,0.1146,0.0004,0.1478,0.017,0.0318,0.0148,0.0336,0.0158,0.1122,0.0248,0.0608,0.1847638307,0.3525398029,0.301182614,0.3919155879,0.5596370282,0.5017184828,0.2530012584,0.3401109057,0.1014929558,0.4032613246,0.3873720137,0.0067567568,0.265625,0.0845069252,0.640914037,0.5798362334,0.189018869,95.348772619,0.3260972721,0.33896237909999993,0.3077185478714286
Qwen2.5-0.5B,0.0242,0.05,0.0396,0.008,0.063,0.0188,0.0572,0.0656,0.19,0.0,0.1432,0.07,0.0302,0.0042,0.0244,0.013,0.0536,0.0886,0.0566,0.1914891401,0.3623957544,0.3027184764,0.4065606568,0.5408200546,0.5225177017,0.2563401846,0.3826247689,0.1026845167,0.4037285923,0.3865187713,0.0067567568,0.2879464286,0.0876925208,0.633297062,0.5757420676,0.1987403714,95.348772619,0.3322690485,0.34718798465,0.3109562826428572
Qwen2.5-0.5B,0.035,0.07,0.0774,0.017,0.053,0.0088,0.0854,0.0106,0.0802,0.0,0.0946,0.042,0.0466,0.0378,0.0312,0.0088,0.0826,0.127,0.092,0.1843426858,0.3305534496,0.3054830287,0.4098259711,0.5689111585,0.5102926127,0.2517229446,0.2865064695,0.0989696502,0.4004360662,0.385665529,0.0067567568,0.2633928571,0.0930166205,0.6284004353,0.5783009212,0.205027608,95.348772619,0.3239767509,0.33470440369,0.3086515325571429
Qwen2.5-0.5B,0.0336,0.0556,0.0848,0.0136,0.0608,0.0298,0.0272,0.0372,0.0764,0.0006,0.2808,0.0176,0.0252,0.0102,0.0534,0.0042,0.0834,0.0862,0.0194,0.1851588466,0.3351023503,0.2982644755,0.389606392,0.549787386,0.5326129215,0.2539041527,0.3327171904,0.1004415785,0.403818593,0.385665529,0.0067567568,0.265625,0.0882077562,0.6327529924,0.5747185261,0.2017319297,95.348772619,0.3256983751,0.33814138865,0.3079226414571429
Qwen2.5-0.5B,0.0206,0.0772,0.0568,0.027,0.06,0.0074,0.0384,0.0792,0.0612,0.0,0.0506,0.228,0.057,0.0262,0.035,0.0146,0.0914,0.04,0.0294,0.1927128921,0.3790750569,0.3024113039,0.4022327522,0.5386665551,0.4916195335,0.256446099,0.3752310536,0.100231303,0.4064004918,0.3941979522,0.0135135135,0.2477678571,0.0905290859,0.6316648531,0.5757420676,0.2002490738,95.348772619,0.3293347908,0.34450270411,0.3076663433142857
Qwen2.5-0.5B,0.0082,0.1092,0.0704,0.0056,0.0712,0.0024,0.0138,0.0746,0.0706,0.0006,0.0692,0.1264,0.0834,0.0206,0.0176,0.0076,0.1496,0.0248,0.0738,0.1942444093,0.3752843063,0.3031792351,0.3941134304,0.5571422084,0.5372278744,0.2518655621,0.3345656192,0.1052078222,0.3987926812,0.3779863481,0.0067567568,0.265625,0.0863130194,0.6420021763,0.5721596725,0.204342832,95.348772619,0.3298122914,0.34516231486000004,0.30788368644285713
Qwen2.5-0.5B,0.0176,0.0562,0.0756,0.0308,0.081,0.017,0.0656,0.0592,0.1518,0.0004,0.0678,0.066,0.014,0.016,0.0518,0.0046,0.1168,0.0256,0.0822,0.1860084134,0.3411675512,0.3036399939,0.3989358204,0.5764710635,0.5120998414,0.2496350671,0.3493530499,0.103735894,0.3997149629,0.3865187713,0.0067567568,0.2834821429,0.0885595568,0.6338411317,0.5777891505,0.2006445318,95.348772619,0.3293149235,0.34207616577,0.3110845774
Qwen2.5-0.5B,0.0318,0.2066,0.0758,0.005,0.0682,0.0038,0.0766,0.0554,0.0958,0.0006,0.1206,0.0434,0.0332,0.019,0.024,0.0026,0.079,0.0382,0.0206,0.1901203393,0.3457164519,0.3027184764,0.4102404634,0.6013716707,0.5190666107,0.2530662752,0.3530499076,0.1009322212,0.3980271659,0.3873720137,0.0,0.265625,0.0926925208,0.6354733406,0.5690890481,0.1967879185,95.348772619,0.3306676132,0.34743095823,0.3067199773857143
Qwen2.5-0.5B,0.0118,0.1108,0.1042,0.0082,0.081,0.0268,0.012,0.0544,0.0594,0.0,0.0978,0.0514,0.0764,0.0032,0.017,0.0024,0.0946,0.1328,0.0558,0.183725378,0.3290371494,0.3001075104,0.4090430689,0.5801126496,0.5081904004,0.254767198,0.3548983364,0.1006518539,0.3983049126,0.3907849829,0.0067567568,0.2924107143,0.0952243767,0.6360174102,0.5690890481,0.2074634488,95.348772619,0.3303873644,0.3418838457600001,0.3139638196857143
Qwen2.5-0.5B,0.0336,0.0732,0.0842,0.0162,0.0478,0.0144,0.0404,0.0556,0.072,0.0002,0.125,0.0542,0.041,0.0124,0.1022,0.0082,0.0848,0.117,0.0178,0.1806831539,0.3434420015,0.3048686838,0.4098298394,0.5777459156,0.5334441761,0.2526447148,0.3327171904,0.1003714866,0.4051454809,0.388225256,0.0067567568,0.28125,0.0872216066,0.640914037,0.5793244626,0.198328771,95.348772619,0.3307596196,0.3440892643,0.31171727
Qwen2.5-0.5B,0.0202,0.1288,0.0464,0.0418,0.0732,0.0344,0.0622,0.0462,0.1118,0.0004,0.0598,0.022,0.0232,0.0208,0.0206,0.0084,0.166,0.092,0.0214,0.1811547068,0.3510235027,0.3047150975,0.3994214837,0.5519772222,0.5542666953,0.2524381292,0.3364140481,0.102193874,0.4109346831,0.3796928328,0.0,0.2566964286,0.0841551247,0.6349292709,0.5772773797,0.1895328062,95.348772619,0.3274601933,0.34445394426,0.3031834061285714
Qwen2.5-0.5B,0.015,0.081,0.1138,0.0072,0.0464,0.0142,0.0482,0.0192,0.1614,0.001,0.0806,0.0412,0.0338,0.0246,0.042,0.002,0.1388,0.0262,0.1036,0.1769637113,0.3237300986,0.3022577177,0.4148681846,0.5381201521,0.5044801674,0.2546067534,0.2902033272,0.1021237822,0.3937516069,0.3924914676,0.0067567568,0.2723214286,0.0920415512,0.6430903156,0.5747185261,0.2023949976,95.348772619,0.322642385,0.33011055014,0.3119735776428571
Qwen2.5-0.5B,0.0078,0.0706,0.1036,0.0062,0.0698,0.0256,0.0188,0.0146,0.0942,0.0012,0.0532,0.1114,0.0078,0.0296,0.0384,0.011,0.1186,0.1374,0.08,0.1956582419,0.3373768006,0.3060973737,0.4150762783,0.5612009234,0.526549387,0.252542995,0.2791127542,0.1007920376,0.4017783185,0.3813993174,0.0067567568,0.2700892857,0.0939030471,0.6398258977,0.5747185261,0.207778385,95.348772619,0.3265091956,0.3376185110199999,0.31063874511428574
Qwen2.5-0.5B,0.0158,0.092,0.0434,0.0292,0.0336,0.003,0.0758,0.0294,0.1738,0.0002,0.0452,0.1324,0.012,0.0412,0.0388,0.0112,0.0922,0.0226,0.1082,0.185106884,0.3821076573,0.3019505452,0.406228605,0.5945650994,0.5242448643,0.2520417366,0.3308687616,0.1019835985,0.4023047278,0.3924914676,0.0067567568,0.2879464286,0.0855734072,0.6305767138,0.5798362334,0.1841770375,95.348772619,0.3322800309,0.34814024797,0.3096225778428571
Qwen2.5-0.5B,0.0056,0.0736,0.1532,0.035,0.0364,0.004,0.0196,0.0284,0.0592,0.0002,0.061,0.1162,0.0616,0.0334,0.0308,0.017,0.1184,0.0898,0.0564,0.1881891019,0.3442001516,0.3057902012,0.4135565859,0.5716603679,0.4892601263,0.254414849,0.3086876155,0.1012826803,0.3972934059,0.3848122867,0.0135135135,0.2745535714,0.0950470914,0.6294885745,0.5736949846,0.2085372759,95.348772619,0.3267048461,0.3374335085500001,0.31137818542857143
Qwen2.5-0.5B,0.035,0.1646,0.0988,0.012,0.023,0.0166,0.0244,0.0378,0.1806,0.0006,0.1012,0.0682,0.0138,0.008,0.0348,0.0146,0.0538,0.0836,0.0288,0.1809891064,0.3305534496,0.2990324067,0.4025421614,0.5939987955,0.5371657292,0.254926594,0.3234750462,0.1019135067,0.4001146114,0.3933447099,0.0,0.2723214286,0.0941357341,0.6387377584,0.5716479017,0.2066602296,95.348772619,0.3295034806,0.34247114070999995,0.31097825175714283
Qwen2.5-0.5B,0.0412,0.091,0.0406,0.0054,0.0918,0.0086,0.0126,0.0264,0.274,0.0008,0.1106,0.0368,0.0162,0.0158,0.0512,0.0104,0.061,0.0348,0.0708,0.2009774977,0.3608794541,0.301182614,0.3896840527,0.5648208263,0.5057074948,0.2546665268,0.3160813309,0.1007920376,0.3994489485,0.3899317406,0.0067567568,0.2566964286,0.0896897507,0.6360174102,0.5762538383,0.1910620633,95.348772619,0.325920516,0.33942407834,0.30662971264285716
Qwen2.5-0.5B,0.0264,0.0684,0.0468,0.0174,0.1278,0.0122,0.0512,0.0542,0.0656,0.0006,0.0624,0.0282,0.048,0.0178,0.0408,0.0148,0.1034,0.1314,0.0826,0.1811496475,0.3479909022,0.301182614,0.3769141741,0.5691067692,0.537263221,0.2527915268,0.3567467652,0.0988995584,0.4053728143,0.3907849829,0.0067567568,0.2477678571,0.0841135734,0.6474428727,0.5788126919,0.1899376324,95.348772619,0.3278255506,0.34274179927000004,0.3065166238857143
Qwen2.5-0.5B,0.0092,0.0858,0.1168,0.0192,0.082,0.0234,0.055,0.0108,0.07,0.0,0.0336,0.0922,0.0534,0.0182,0.021,0.0126,0.1802,0.0942,0.023,0.188111914,0.3373768006,0.3022577177,0.4124803582,0.5731572334,0.5308420295,0.2585161493,0.2939001848,0.1024041494,0.401262927,0.3839590444,0.0,0.2678571429,0.089734072,0.6354733406,0.5783009212,0.2026120409,95.348772619,0.3269556486,0.34003094639,0.30827665171428575
Qwen2.5-0.5B,0.0522,0.104,0.0434,0.0044,0.0462,0.0214,0.0498,0.012,0.1798,0.0004,0.1212,0.1268,0.0246,0.0474,0.0286,0.004,0.0816,0.0306,0.0214,0.1894957332,0.3760424564,0.3025648902,0.4061593294,0.5548133623,0.519088789,0.2514943372,0.2754158965,0.0996004766,0.4026981594,0.3865187713,0.0,0.3147321429,0.087700831,0.6441784548,0.576765609,0.1894235758,95.348772619,0.3280407538,0.33773734301999997,0.3141884835428571
Qwen2.5-0.5B,0.0054,0.0566,0.0378,0.023,0.1032,0.0234,0.0884,0.027,0.1476,0.0004,0.0788,0.0748,0.0114,0.0168,0.0328,0.0052,0.1546,0.0532,0.0594,0.1886526417,0.3639120546,0.3062509599,0.40775014,0.5470741503,0.5033267014,0.2531963087,0.3049907579,0.1013527721,0.4078849278,0.3822525597,0.0067567568,0.2544642857,0.0848310249,0.6387377584,0.5747185261,0.1848808776,95.348772619,0.3241784237,0.33843914144,0.30380596988571423
Qwen2.5-0.5B,0.011,0.0928,0.1088,0.0352,0.047,0.009,0.0246,0.0522,0.0516,0.0,0.0838,0.0708,0.0146,0.0298,0.137,0.0092,0.0954,0.0812,0.0462,0.1840957512,0.3442001516,0.3060973737,0.410684371,0.5571454427,0.5051209268,0.2543844379,0.3585951941,0.0996705684,0.4008797511,0.3899317406,0.0067567568,0.2700892857,0.0887783934,0.6360174102,0.5747185261,0.2046137529,95.348772619,0.3289282255,0.34208739685,0.31012940938571426
Qwen2.5-0.5B,0.0092,0.0588,0.0942,0.0052,0.0828,0.014,0.0632,0.1018,0.113,0.0002,0.0726,0.051,0.0274,0.0166,0.1024,0.0224,0.1034,0.0226,0.0392,0.1805278583,0.3442001516,0.3005682691,0.3825066603,0.5914556589,0.5088492126,0.2590583054,0.3770794824,0.1003714866,0.3958030486,0.388225256,0.0,0.2433035714,0.0921108033,0.6327529924,0.5701125896,0.208233222,95.348772619,0.327950504,0.34404201338,0.30496263352857145
Qwen2.5-0.5B,0.0068,0.0902,0.1126,0.0086,0.0802,0.0092,0.0136,0.057,0.1268,0.0002,0.137,0.1106,0.0114,0.0052,0.1044,0.0016,0.0368,0.0506,0.037,0.1914652877,0.3457164519,0.2964214406,0.402191961,0.5685843266,0.5270733146,0.2566463926,0.3530499076,0.099460293,0.4023428941,0.3907849829,0.0067567568,0.2790178571,0.0901301939,0.6371055495,0.5721596725,0.2096722729,95.348772619,0.331092915,0.34429522697000003,0.31223246937142857
Qwen2.5-0.5B,0.0094,0.1086,0.0314,0.021,0.0486,0.01,0.0212,0.015,0.1158,0.0,0.1242,0.0972,0.035,0.0086,0.0624,0.0186,0.0936,0.0644,0.1148,0.1822817137,0.3874147081,0.3087083397,0.4211288381,0.5411341801,0.5262964165,0.2543519295,0.26987061,0.1017733231,0.4031562269,0.385665529,0.0,0.2678571429,0.0847617729,0.6458106638,0.5793244626,0.187387378,95.348772619,0.3262896021,0.33961162857000005,0.30725813560000004
Qwen2.5-0.5B,0.0042,0.1896,0.0698,0.0078,0.077,0.0072,0.0144,0.0224,0.0944,0.0002,0.0794,0.0276,0.0306,0.0484,0.0608,0.0138,0.053,0.0608,0.138,0.1782387,0.3654283548,0.298571648,0.4041625277,0.5793920221,0.542694874,0.2501447148,0.2680221811,0.1019835985,0.3977696563,0.3890784983,0.0,0.2589285714,0.0934044321,0.6164309032,0.5721596725,0.211014165,95.348772619,0.3251426188,0.33864082773000004,0.30585946321428575
Qwen2.5-0.5B,0.0092,0.0376,0.04,0.0092,0.2168,0.0302,0.0504,0.069,0.112,0.0004,0.0358,0.0482,0.082,0.018,0.1248,0.0126,0.0494,0.0312,0.023,0.1927346758,0.3548142532,0.30502227,0.373314551,0.548802138,0.5366615045,0.255036703,0.3548983364,0.1014929558,0.4085098374,0.3865187713,0.0,0.2522321429,0.0887977839,0.633297062,0.5783009212,0.204660179,95.348772619,0.3279467109,0.34312872251000004,0.3062581229
Qwen2.5-0.5B,0.0338,0.0916,0.1062,0.0294,0.042,0.0152,0.0226,0.0872,0.099,0.0004,0.0858,0.0584,0.0078,0.015,0.0694,0.0246,0.1052,0.0828,0.0232,0.1853631838,0.3373768006,0.3047150975,0.4159610583,0.5490097949,0.5344742096,0.2559270134,0.3696857671,0.1006518539,0.405335358,0.3865187713,0.0,0.2879464286,0.0892243767,0.6414581066,0.5696008188,0.2012462209,95.348772619,0.3314408741,0.34585001370999996,0.31085638898571427
Qwen2.5-0.5B,0.0212,0.0386,0.0568,0.047,0.0728,0.0288,0.1264,0.0098,0.0864,0.0,0.148,0.0258,0.0078,0.049,0.0688,0.0122,0.0876,0.0664,0.047,0.1826207742,0.3472327521,0.3070188911,0.3940486413,0.5456252056,0.4934198315,0.2564146393,0.26987061,0.0977079975,0.4046273762,0.3873720137,0.0067567568,0.2678571429,0.0862714681,0.6316648531,0.5762538383,0.1926689057,95.348772619,0.3204371587,0.32985867188,0.3069778540857143
Qwen2.5-0.5B,0.0494,0.072,0.1092,0.011,0.1286,0.0168,0.0186,0.0738,0.0692,0.0,0.0632,0.0438,0.043,0.0074,0.062,0.0174,0.1296,0.0336,0.0514,0.1854114879,0.3290371494,0.3007218553,0.3921190058,0.5922711708,0.5367026266,0.2567732802,0.3548983364,0.1047171795,0.4019005562,0.3865187713,0.0135135135,0.28125,0.0932742382,0.6425462459,0.5726714432,0.2075116194,95.348772619,0.332461087,0.34545526481,0.31389797592857144
Qwen2.5-0.5B,0.0216,0.074,0.2232,0.047,0.088,0.0024,0.0278,0.0402,0.0486,0.0002,0.101,0.0302,0.0078,0.045,0.0534,0.0042,0.1144,0.0286,0.0426,0.1965628037,0.3184230478,0.3034864076,0.4064640328,0.5667801343,0.5192051917,0.2529100252,0.3382624769,0.1017032312,0.3963287972,0.385665529,0.0067567568,0.2790178571,0.0955706371,0.6267682263,0.5762538383,0.2109108436,95.348772619,0.3282982257,0.34001261484,0.3115633840285715
Qwen2.5-0.5B,0.0068,0.117,0.0382,0.033,0.1148,0.009,0.0674,0.0236,0.1844,0.0004,0.0962,0.0278,0.0876,0.0132,0.0314,0.006,0.0542,0.0726,0.0166,0.1890310967,0.3472327521,0.3027184764,0.4073950919,0.5595102624,0.5380138485,0.2540645973,0.2939001848,0.1006518539,0.4020132262,0.383105802,0.0067567568,0.2589285714,0.0891800554,0.6294885745,0.5762538383,0.1994409663,95.348772619,0.3257462326,0.33945313902,0.3061649378142857
Qwen2.5-0.5B,0.0542,0.0878,0.0676,0.0106,0.1346,0.0158,0.0396,0.0154,0.0966,0.0012,0.0728,0.0606,0.017,0.02,0.0746,0.0106,0.078,0.057,0.0858,0.1920514434,0.3639120546,0.301796959,0.4140469071,0.544177119,0.5237359531,0.2561409396,0.2624768946,0.1003714866,0.4076840124,0.3771331058,0.0,0.2857142857,0.0922382271,0.6392818281,0.5726714432,0.2018466877,95.348772619,0.3256046675,0.33663937693999996,0.3098407968
Qwen2.5-0.5B,0.0054,0.0838,0.0548,0.0346,0.1536,0.0226,0.0832,0.0368,0.0726,0.0006,0.1586,0.0254,0.0332,0.0114,0.053,0.012,0.0422,0.0352,0.0808,0.1912760364,0.3419257013,0.3033328214,0.4061184537,0.5739105011,0.5324876739,0.2559930789,0.3216266174,0.0993902012,0.3992664065,0.3865187713,0.0067567568,0.2566964286,0.088232687,0.6289445049,0.5803480041,0.2009103733,95.348772619,0.3278667657,0.34253274918,0.3069153608571428
Qwen2.5-0.5B,0.0106,0.0442,0.0456,0.0194,0.0258,0.0134,0.0166,0.0416,0.1242,0.0,0.151,0.0596,0.0924,0.0086,0.0708,0.0168,0.1784,0.0246,0.0564,0.1739718422,0.3639120546,0.3031792351,0.4007370719,0.5716389487,0.5026068331,0.2549108641,0.3382624769,0.104506904,0.406816999,0.3907849829,0.0,0.2633928571,0.0831246537,0.6365614799,0.5696008188,0.1956048099,95.348772619,0.3270360489,0.34205432296,0.30558137175714284
Qwen2.5-0.5B,0.0232,0.0656,0.072,0.0072,0.0434,0.0346,0.0232,0.0494,0.0854,0.0,0.0672,0.1952,0.0326,0.0088,0.0246,0.0028,0.065,0.0544,0.1454,0.1831052602,0.3858984079,0.3001075104,0.3986870217,0.5622501979,0.528827969,0.2517512584,0.3548983364,0.1010724049,0.4016298299,0.3890784983,0.0067567568,0.2566964286,0.0910554017,0.640914037,0.5701125896,0.2041961886,95.348772619,0.331002241,0.34682281967,0.3084014143714286
Qwen2.5-0.5B,0.0064,0.2122,0.05,0.0044,0.0362,0.0098,0.0564,0.0322,0.052,0.0002,0.0778,0.039,0.0444,0.0302,0.059,0.0038,0.0758,0.1104,0.0994,0.1847388393,0.366944655,0.3039471663,0.4163309012,0.5715615559,0.5315023269,0.2519704279,0.3234750462,0.0988995584,0.4021922197,0.3873720137,0.0,0.2700892857,0.0886759003,0.6479869423,0.5701125896,0.2050589529,95.348772619,0.3306387283,0.34515626967999996,0.30989938349999996
